"Infection","sex","year","Species"
11.3,"Female",2008,"Campylobacte"
11.4,"Female",2009,"Campylobacte"
11.9,"Female",2010,"Campylobacte"
12.5,"Female",2011,"Campylobacte"
12.8,"Female",2012,"Campylobacte"
12.1,"Female",2013,"Campylobacte"
11.9,"Female",2014,"Campylobacte"
11.3,"Female",2015,"Campylobacte"
10.6,"Female",2016,"Campylobacte"
11.1,"Female",2017,"Campylobacte"
14.2,"Male",2008,"Campylobacte"
14.6,"Male",2009,"Campylobacte"
15.2,"Male",2010,"Campylobacte"
16.1,"Male",2011,"Campylobacte"
15.6,"Male",2012,"Campylobacte"
15.4,"Male",2013,"Campylobacte"
14.7,"Male",2014,"Campylobacte"
14.5,"Male",2015,"Campylobacte"
12.9,"Male",2016,"Campylobacte"
13.4,"Male",2017,"Campylobacte"
1.2,"Female",2008,"Escherichia"
1.1,"Female",2009,"Escherichia"
1,"Female",2010,"Escherichia"
1.1,"Female",2011,"Escherichia"
1.1,"Female",2012,"Escherichia"
1.3,"Female",2013,"Escherichia"
1,"Female",2014,"Escherichia"
1,"Female",2015,"Escherichia"
1.1,"Female",2016,"Escherichia"
0.9,"Female",2017,"Escherichia"
1.2,"Male",2008,"Escherichia"
0.9,"Male",2009,"Escherichia"
0.9,"Male",2010,"Escherichia"
0.9,"Male",2011,"Escherichia"
1.1,"Male",2012,"Escherichia"
1,"Male",2013,"Escherichia"
0.9,"Male",2014,"Escherichia"
0.8,"Male",2015,"Escherichia"
0.9,"Male",2016,"Escherichia"
0.8,"Male",2017,"Escherichia"
15.2,"Female",2008,"Salmonella"
15.5,"Female",2009,"Salmonella"
18.2,"Female",2010,"Salmonella"
16.8,"Female",2011,"Salmonella"
16.7,"Female",2012,"Salmonella"
15.5,"Female",2013,"Salmonella"
15.8,"Female",2014,"Salmonella"
16.3,"Female",2015,"Salmonella"
16,"Female",2016,"Salmonella"
15,"Female",2017,"Salmonella"
14.7,"Male",2008,"Salmonella"
14.5,"Male",2009,"Salmonella"
16.8,"Male",2010,"Salmonella"
16,"Male",2011,"Salmonella"
15.9,"Male",2012,"Salmonella"
14.7,"Male",2013,"Salmonella"
14.8,"Male",2014,"Salmonella"
15.2,"Male",2015,"Salmonella"
14.6,"Male",2016,"Salmonella"
14,"Male",2017,"Salmonella"
